fii_name,property_name,state,area,date_process
BTLG11,IMÓVEL NAVEGANTES,Estado: Santa Catarina,"Área bruta locável: 9.793,66 m²",2024-11-09
BTLG11,ATIVO SBC,Estado: São Paulo,"Área bruta locável: 460.000,00 m²",2024-11-09
BTLG11,BRASIL FOODS - BRF,Estado: Ceará,"Área bruta locável: 23.273,00 m²",2024-11-09
BTLG11,BTLG JUNDIAÍ,Estado: São Paulo,"Área bruta locável: 100.028,00 m²",2024-11-09
BTLG11,NATURA,Estado: São Paulo,"Área bruta locável: 63.606,00 m²",2024-11-09
BTLG11,CONTINENTAL CASTELLO BANCO,Estado: São Paulo,"Área bruta locável: 18.940,00 m²",2024-11-09
BTLG11,WESTROCK BRAZIL,Estado: São Paulo,"Área bruta locável: 26.783,00 m²",2024-11-09
BTLG11,HORTOLÂNDIA,Estado: São Paulo,"Área bruta locável: 36.024,00 m²",2024-11-09
BTLG11,BTLG RIBEIRÃO PRETO,Estado: São Paulo,"Área bruta locável: 57.210,00 m²",2024-11-09
BTLG11,EMBU,Estado: São Paulo,"Área bruta locável: 30.592,00 m²",2024-11-09
BTLG11,IMOVEL GUARULHOS,Estado: São Paulo,"Área bruta locável: 20.247,00 m²",2024-11-09
BTLG11,BTLG COTIA,Estado: São Paulo,"Área bruta locável: 7.538,31 m²",2024-11-09
BTLG11,BTLG FARIA LIMA,Estado: São Paulo,"Área bruta locável: 1.499,00 m²",2024-11-09
BTLG11,BTLG MAUA,Estado: São Paulo,"Área bruta locável: 88.774,00 m²",2024-11-09
BTLG11,BTLG CAMÇARI,Estado: Bahia,"Área bruta locável: 4.415,29 m²",2024-11-09
BTLG11,BTLG CAMPINAS,Estado: São Paulo,"Área bruta locável: 1.999,00 m²",2024-11-09
BTLG11,BTLG EXTREMA,Estado: Minas Gerais,"Área bruta locável: 38.000,00 m²",2024-11-09
BTLG11,AMBEV SANTA LUZIA,Estado: Minas Gerais,"Área bruta locável: 16.120,00 m²",2024-11-09
BTLG11,BTLG CAJAMAR I,Estado: São Paulo,"Área bruta locável: 57.153,00 m²",2024-11-09
BTLG11,BTLG CAJAMAR II,Estado: São Paulo,"Área bruta locável: 78.639,00 m²",2024-11-09
BTLG11,BTLG CAMPINAS II,Estado: São Paulo,"Área bruta locável: 173.849,00 m²",2024-11-09
BTLG11,BTLG CABREUVA,Estado: São Paulo,"Área bruta locável: 31.214,00 m²",2024-11-09
HSML11,SHOPPING GRANJA VIANNA,Estado: São Paulo,"Área bruta locável: 30.377,00 m²",2024-11-09
HSML11,SHOPPING PÁTIO MACEIÓ,Estado: Alagoas,"Área bruta locável: 43.983,00 m²",2024-11-09
HSML11,SUPERSHOPPING OSASCO,Estado: São Paulo,"Área bruta locável: 17.984,00 m²",2024-11-09
HSML11,SHOPPING METRÔ TUCURUVI,Estado: São Paulo,"Área bruta locável: 32.998,00 m²",2024-11-09
HSML11,VIA VERDE SHOPPING,Estado: Acre,"Área bruta locável: 28.576,00 m²",2024-11-09
HSML11,SHOPPING PARALELA,Estado: Bahia,"Área bruta locável: 57.800,00 m²",2024-11-09
HSML11,SHOPPING UBERABA,Estado: Minas Gerais,"Área bruta locável: 31.575,00 m²",2024-11-09
GGRC11,AETHRA,Estado: Paraná,"Área bruta locável: 22.119,66 m²",2024-11-09
GGRC11,COVOLAN,Estado: São Paulo,"Área bruta locável: 38.131,93 m²",2024-11-09
GGRC11,HERING ANÁPOLIS,Estado: Goiás,"Área bruta locável: 40.255,27 m²",2024-11-09
GGRC11,AMBEV ITAJAÍ,Estado: Santa Catarina,"Área bruta locável: 9.433,00 m²",2024-11-09
