fii_name,fii_type,date_process
AFOF11,Fii,2024-11-09
VXXV11,Fii,2024-11-09
RBRI11,Fii,2024-11-09
BTSI11,Fii,2024-11-09
ERPA11,Fii,2024-11-09
BRFT11,Fii,2024-11-09
ATSA11,Fii,2024-11-09
EQIN11,Fii,2024-11-09
MATV11,Fii,2024-11-09
ENDD11,Fii,2024-11-09
STRX11,Fii,2024-11-09
ZAGH11,Fii,2024-11-09
IMOV11,Fii,2024-11-09
SJAU11,Fii,2024-11-09
ESUU11,Fii,2024-11-09
WTSP11B,Fii,2024-11-09
DAMA11,Fii,2024-11-09
IFIE11,Fii,2024-11-09
BZLI11,Fii,2024-11-09
FTCE11B,Fii,2024-11-09
RBGS11,Fii,2024-11-09
ROOF11,Fii,2024-11-09
YUFI11,Fii,2024-11-09
ALMI11,Fii,2024-11-09
TRNT11,Fii,2024-11-09
DMAC11,Fii,2024-11-09
PNPR11,Fii,2024-11-09
CFII11,Fii,2024-11-09
DOVL11B,Fii,2024-11-09
APXM11,Fii,2024-11-09
BTYU11,Fii,2024-11-09
CFHI11,Fii,2024-11-09
FMOF11,Fii,2024-11-09
SBCL11,Fii,2024-11-09
HBTT11,Fii,2024-11-09
PULV11,Fii,2024-11-09
PABY11,Fii,2024-11-09
PRTS11,Fii,2024-11-09
VIDS11,Fii,2024-11-09
COPP11,Fii,2024-11-09
BTWR11,Fii,2024-11-09
RSPD11,Fii,2024-11-09
LOFT11B,Fii,2024-11-09
HCST11,Fii,2024-11-09
HGJH11,Fii,2024-11-09
VANG11,Fii,2024-11-09
ZAVC11,Fii,2024-11-09
URHF11,Fii,2024-11-09
BZEL11,Fii,2024-11-09
SFRO11,Fii,2024-11-09
THRA11,Fii,2024-11-09
PRSV11,Fii,2024-11-09
MINT11,Fii,2024-11-09
NPAR11,Fii,2024-11-09
XBXO11,Fii,2024-11-09
NEXG11,Fii,2024-11-09
MMPD11,Fii,2024-11-09
AZPL11,Fii,2024-11-09
RCFF11,Fii,2024-11-09
GRUL11,Fii,2024-11-09
SFND11,Fii,2024-11-09
CVPR11,Fii,2024-11-09
PATB11,Fii,2024-11-09
LAVF11,Fii,2024-11-09
ARFI11B,Fii,2024-11-09
BRHT11B,Fii,2024-11-09
FCAS11,Fii,2024-11-09
OUCY11,Fii,2024-11-09
HMOC11,Fii,2024-11-09
VLJS11,Fii,2024-11-09
ZIFI11,Fii,2024-11-09
RZEO11,Fii,2024-11-09
BTML11,Fii,2024-11-09
BINC11,Fii,2024-11-09
ATWN11,Fii,2024-11-09
CJFI11,Fii,2024-11-09
MVFI11,Fii,2024-11-09
VTVI11,Fii,2024-11-09
FVBI11,Fii,2024-11-09
QIFF11,Fii,2024-11-09
CORM11,Fii,2024-11-09
LRDI11,Fii,2024-11-09
LKDV11,Fii,2024-11-09
JTPR11,Fii,2024-11-09
RBCB11,Fii,2024-11-09
BRIX11,Fii,2024-11-09
LLAO11,Fii,2024-11-09
HDOF11,Fii,2024-11-09
ICNE11,Fii,2024-11-09
CIXM11,Fii,2024-11-09
BLOG11,Fii,2024-11-09
TOPP11,Fii,2024-11-09
DLMT11,Fii,2024-11-09
ESTQ11,Fii,2024-11-09
GWIR11,Fii,2024-11-09
PNLN11,Fii,2024-11-09
PRZS11,Fii,2024-11-09
TELD11,Fii,2024-11-09
SALI11,Fii,2024-11-09
BPLC11,Fii,2024-11-09
ORPD11,Fii,2024-11-09
JPPC11,Fii,2024-11-09
HRES11,Fii,2024-11-09
BIPD11,Fii,2024-11-09
VVMR11,Fii,2024-11-09
JSCR11,Fii,2024-11-09
RIFF11,Fii,2024-11-09
DOMC11,Fii,2024-11-09
FISD11,Fii,2024-11-09
QMFF11,Fii,2024-11-09
MTOF11,Fii,2024-11-09
MMVE11,Fii,2024-11-09
PURB11,Fii,2024-11-09
RCRI11B,Fii,2024-11-09
CYLD11,Fii,2024-11-09
INFB11,Fii,2024-11-09
IRIF11,Fii,2024-11-09
OCRE11,Fii,2024-11-09
ONDV11,Fii,2024-11-09
ASRF11,Fii,2024-11-09
GCOI11,Fii,2024-11-09
YEES11,Fii,2024-11-09
EMET11,Fii,2024-11-09
INDE11,Fii,2024-11-09
COPN11,Fii,2024-11-09
